Admin2,9/19/20
Mercer,28
Miller,429
Mississippi,282
Moniteau,275
Monroe,86
Montgomery,78
Morgan,280
New Madrid,503
Newton,1324
Nodaway,713
Oregon,99
Osage,125
Out of MO,0
Ozark,110
Pemiscot,463
Perry,570
Pettis,992
Phelps,401
Pike,225
Platte,625
Polk,463
Pulaski,537
Putnam,31
Ralls,139
Randolph,207
Ray,157
Reynolds,30
Ripley,138
Saline,660
Schuyler,22
Scotland,28
Scott,802
Shannon,81
Shelby,59
St. Charles,7066
St. Clair,41
St. Francois,1895
St. Louis,22729
St. Louis City,6797
Ste. Genevieve,175
Stoddard,439
Stone,387
Sullivan,185
Taney,1116
Texas,270
Unassigned,0
Vernon,151
Warren,437
Washington,329
Wayne,168
Webster,500
Worth,19
Wright,231
Beaverhead,76
Big Horn,832
Blaine,16
Broadwater,17
Carbon,107
Carter,0
Cascade,522
Chouteau,18
Custer,101
Daniels,3
Dawson,67
Deer Lodge,113
Fallon,5
Fergus,54
Flathead,826
Gallatin,1200
Garfield,16
Glacier,176
Golden Valley,3
Granite,22
Hill,131
Jefferson,55
Judith Basin,6
Lake,251
Lewis and Clark,222
Liberty,16
Lincoln,105
Madison,97
McCone,19
Meagher,24
Mineral,2
Missoula,571
Musselshell,32
Out of MT,0
Park,86
Petroleum,0
Phillips,117
Pondera,21
Powder River,3
Powell,10
Prairie,1
Ravalli,126
Richland,73
Roosevelt,147
Rosebud,558
Sanders,44
Sheridan,9
Silver Bow,209
Stillwater,51
Sweet Grass,37
Teton,20
Toole,70
Treasure,3
Unassigned,0
Valley,58
Wheatland,9
Wibaux,9
Yellowstone,2797
Adams,506
Antelope,53
Arthur,1
Banner,2
Blaine,0
Boone,63
Box Butte,53
Boyd,17
Brown,17
Buffalo,953
Burt,75
Butler,106
Cass,304
Cedar,73
Chase,20
Cherry,42
Cheyenne,36
Clay,66
Colfax,758
Cuming,119
Custer,80
Dakota,2140
Dawes,114
Dawson,1067
Deuel,4
Dixon,83
Dodge,1076
Douglas,15107
Dundy,11
Fillmore,51
Franklin,22
Frontier,7
Furnas,33
Gage,201
Garden,9
Garfield,6
Gosper,32
Grant,1
Greeley,22
Hall,1958
Hamilton,119
Harlan,14
Hayes,0
Hitchcock,4
Holt,50
Hooker,7
Howard,88
Jefferson,29
Johnson,40
Kearney,137
Keith,60
Keya Paha,4
Kimball,15
Knox,132
Lancaster,5605
Lincoln,356
Logan,6
Loup,3
Madison,775
McPherson,6
Merrick,81
Morrill,75
Nance,24
Nemaha,114
Nuckolls,13
Otoe,135
Out of NE,0
Pawnee,15
Perkins,33
Phelps,102
Pierce,100
Platte,1010
Polk,49
Red Willow,25
Richardson,50
Rock,37
Saline,692
Sarpy,3356
Saunders,401
Scotts Bluff,405
Seward,203
Sheridan,47
Sherman,23
Sioux,7
Stanton,39
Thayer,29
Thomas,5
Thurston,244
Unassigned,194
Valley,30
Washington,242
Wayne,115
Webster,15
Wheeler,1
York,148
Carson City,523
Churchill,137
Clark,63877
Douglas,286
Elko,904
Esmeralda,0
Eureka,10
Humboldt,118
Lander,70
Lincoln,7
Lyon,407
Mineral,13
Nye,492
Out of NV,0
Pershing,21
Storey,9
Unassigned,0
Washoe,8493
White Pine,52
Belknap,143
Carroll,119
Cheshire,142
Coos,21
Grafton,132
Hillsborough,4289
Merrimack,557
Out of NH,0
Rockingham,1971
Strafford,493
Sullivan,50
Unassigned,3
Atlantic,3956
Bergen,22145
Burlington,6901
Camden,9667
Cape May,995
Cumberland,3728
Essex,20803
Gloucester,4281
Hudson,20468
Hunterdon,1282
Mercer,8563
Middlesex,19050
Monmouth,11438
Morris,7718
Ocean,12182
Out of NJ,0
Passaic,18799
Salem,1039
Somerset,5685
Sussex,1450
Unassigned,316
Union,17415
Warren,1428
Bernalillo,6198
Catron,9
Chaves,1014
